ensembl_id	id	type
ENSG00000117528	17	del
ENSG00000272691	17	del
ENSG00000117525	17	del
ENSG00000142871	17	del
ENSG00000230285	17	del
ENSG00000162598	17	del
ENSG00000223675	17	del
ENSG00000117174	17	del
ENSG00000224081	17	del
ENSG00000143036	17	del
ENSG00000229332	17	del
ENSG00000238242	17	del
ENSG00000226476	17	del
ENSG00000229505	17	del
ENSG00000171502	17	del
ENSG00000162599	17	del
ENSG00000285210	17	del
ENSG00000237853	17	del
ENSG00000232857	17	del
ENSG00000270742	17	del
ENSG00000231252	17	del
ENSG00000237928	17	del
ENSG00000284808	17	del
ENSG00000223920	17	del
ENSG00000162604	17	del
ENSG00000122417	17	del
ENSG00000132849	17	del
ENSG00000231349	17	del
ENSG00000137975	17	del
ENSG00000236646	17	del
ENSG00000271200	17	del
ENSG00000174876	17	del
ENSG00000227408	17	del
ENSG00000187733	17	del
ENSG00000225191	17	del
ENSG00000215869	17	del
ENSG00000228347	17	del
ENSG00000285981	17	del
ENSG00000225036	17	del
ENSG00000230768	17	del
ENSG00000016490	17	del
ENSG00000236915	17	del
ENSG00000016602	17	del
ENSG00000227850	17	del
ENSG00000237897	17	del
ENSG00000153923	17	del
ENSG00000232952	17	del
ENSG00000230932	17	del
ENSG00000237480	17	del
ENSG00000233047	17	del
ENSG00000270342	17	del
ENSG00000270976	17	del
ENSG00000224466	17	del
ENSG00000230424	2	del
ENSG00000053372	2	del
ENSG00000204464	2	del
ENSG00000171729	2	del
ENSG00000233449	17	del
ENSG00000232551	17	del
ENSG00000127463	2	del
ENSG00000215720	2	del
ENSG00000175147	2	del
ENSG00000237460	17	del
ENSG00000198890	17	del
ENSG00000162631	17	del
ENSG00000224550	17	del
ENSG00000234204	17	del
ENSG00000234088	17	del
ENSG00000240563	17	del
ENSG00000237227	17	del
ENSG00000132854	17	del
ENSG00000117519	17	del
ENSG00000235501	17	del
ENSG00000230427	17	del
ENSG00000172339	17	del
ENSG00000228852	17	del
ENSG00000134215	17	del
ENSG00000271092	17	del
ENSG00000226026	17	del
ENSG00000122481	17	del
ENSG00000231992	17	del
ENSG00000152078	17	del
ENSG00000230489	17	del
ENSG00000162607	17	del
ENSG00000278480	2	del
ENSG00000261737	17	del
ENSG00000097033	17	del
ENSG00000228504	17	del
ENSG00000230434	17	del
ENSG00000237954	17	del
ENSG00000233907	17	del
ENSG00000271252	17	del
ENSG00000228971	17	del
ENSG00000230721	17	del
ENSG00000284846	17	del
ENSG00000237435	17	del
ENSG00000231987	17	del
ENSG00000225923	17	del
ENSG00000234422	17	del
ENSG00000228502	17	del
ENSG00000234226	17	del
ENSG00000137970	17	del
ENSG00000183291	17	del
ENSG00000226822	17	del
ENSG00000117569	17	del
ENSG00000153936	17	del
ENSG00000267734	17	del
ENSG00000267561	17	del
ENSG00000267272	17	del
ENSG00000235251	17	del
ENSG00000085491	17	del
ENSG00000225568	17	del
ENSG00000280186	17	del
ENSG00000260879	17	del
ENSG00000196427	17	del
ENSG00000241361	17	del
ENSG00000142621	2	del
ENSG00000238122	17	del
ENSG00000226128	17	del
ENSG00000232542	17	del
ENSG00000225206	17	del
ENSG00000235777	17	del
ENSG00000259946	17	del
ENSG00000188641	17	del
ENSG00000232878	17	del
ENSG00000228057	17	del
ENSG00000230718	17	del
ENSG00000270911	17	del
ENSG00000236045	2	del
ENSG00000233485	2	del
ENSG00000243967	17	del
ENSG00000238118	17	del
ENSG00000224698	17	del
ENSG00000186086	17	del
ENSG00000283354	17	del
ENSG00000227832	17	del
ENSG00000226483	17	del
ENSG00000162636	17	del
ENSG00000211454	2	del
ENSG00000162482	2	del
ENSG00000285922	17	del
ENSG00000233557	17	del
ENSG00000226053	17	del
ENSG00000280040	17	del
ENSG00000162627	17	del
ENSG00000117598	17	del
ENSG00000232825	17	del
ENSG00000227034	17	del
ENSG00000117600	17	del
ENSG00000162639	17	del
ENSG00000285923	17	del
ENSG00000134186	17	del
ENSG00000270728	2	del
ENSG00000053371	2	del
ENSG00000143107	17	del
ENSG00000232971	17	del
ENSG00000228076	17	del
ENSG00000116266	17	del
ENSG00000228140	2	del
ENSG00000142634	2	del
ENSG00000162438	2	del
ENSG00000132906	2	del
ENSG00000233983	17	del
ENSG00000224445	17	del
ENSG00000142615	2	del
ENSG00000215704	2	del
ENSG00000121957	17	del
ENSG00000040487	2	del
ENSG00000121940	17	del
ENSG00000099260	17	del
ENSG00000223656	17	del
ENSG00000162641	17	del
ENSG00000156869	17	del
ENSG00000231996	17	del
ENSG00000203897	17	del
ENSG00000274068	17	del
ENSG00000162688	17	del
ENSG00000085433	17	del
ENSG00000228665	17	del
ENSG00000244716	17	del
ENSG00000237349	17	del
ENSG00000228054	17	del
ENSG00000077549	2	del
ENSG00000226396	2	del
ENSG00000158747	2	del
ENSG00000197780	17	del
ENSG00000215717	17	del
ENSG00000273382	17	del
ENSG00000270066	17	del
ENSG00000251484	17	del
ENSG00000235185	2	del
ENSG00000270136	2	del
ENSG00000173436	2	del
ENSG00000179902	17	del
ENSG00000116299	17	del
ENSG00000241073	17	del
ENSG00000156875	17	del
