ID	commun	community_type
GO:0002673	379	Inter
GO:0070613	379	Inter
GO:1903317	379	Inter
GO:0016064	379	Inter
GO:0019724	379	Inter
GO:0002526	379	Inter
GO:0006959	379	Inter
GO:0002253	379	Inter
GO:0002449	379	Inter
GO:0016485	379	Inter
GO:0002460	379	Inter
GO:0051604	379	Inter
GO:0050727	379	Inter
GO:0002697	379	Inter
GO:0002250	379	Inter
GO:0050808	379	Inter
GO:0022617	333	Inter
GO:0030198	333	Inter
GO:0043062	333	Inter
GO:0022411	333	Inter
GO:0030574	333	Inter
GO:0035589	468	Inter
GO:0035590	468	Inter
GO:0035588	468	Inter
GO:0035587	468	Inter
GO:1905521	468	Inter
GO:1905517	468	Inter
GO:0007200	468	Inter
GO:0032651	468	Inter
GO:0032611	468	Inter
GO:0032652	468	Inter
GO:0032612	468	Inter
GO:1903975	468	Inter
GO:0009952	475	Intra
GO:0003002	475	Intra
GO:0007389	475	Intra
GO:0048706	475	Intra
GO:0001501	475	Intra
GO:0048705	475	Intra
GO:0048704	475	Intra
GO:0048562	475	Intra
GO:0006334	91	Inter
GO:0031497	91	Inter
GO:0034728	91	Inter
GO:0006333	91	Inter
GO:0006323	91	Inter
GO:0065004	91	Inter
GO:0071824	91	Inter
GO:0071103	91	Inter
GO:0006342	91	Inter
GO:0045814	91	Inter
GO:0002385	91	Inter
GO:0006335	91	Inter
GO:0034723	91	Inter
GO:0002251	91	Inter
GO:0060968	91	Inter
GO:0019731	91	Inter
GO:0000183	91	Inter
GO:0061844	91	Inter
GO:0051290	91	Inter
GO:0034080	91	Inter
GO:0061641	91	Inter
GO:0016458	91	Inter
GO:0031055	91	Inter
GO:0019730	91	Inter
GO:0016233	91	Inter
GO:0006336	91	Inter
GO:0034724	91	Inter
GO:0043486	91	Inter
GO:0050830	91	Inter
GO:0034508	91	Inter
GO:0045652	91	Inter
GO:0040029	91	Inter
GO:0030219	91	Inter
GO:0043044	91	Inter
GO:0045638	91	Inter
GO:0006303	91	Inter
GO:0000726	91	Inter
GO:0060964	91	Inter
GO:0060147	91	Inter
GO:0060966	91	Inter
GO:0051291	91	Inter
GO:0006959	91	Inter
GO:0035195	91	Inter
GO:1903707	91	Inter
GO:0042742	91	Inter
GO:0051262	91	Inter
GO:0035194	91	Inter
GO:0016441	91	Inter
GO:0031047	91	Inter
GO:0000723	91	Inter
GO:0032200	91	Inter
GO:0070268	547	Inter
GO:0031424	547	Inter
GO:0008544	547	Inter
GO:0030216	547	Inter
GO:0009913	547	Inter
GO:0043588	547	Inter
GO:0031581	547	Inter
GO:0030855	547	Inter
GO:0007044	547	Inter
GO:0045109	547	Inter
GO:0034329	547	Inter
